,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
714,Ca0.9Sb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.462038885,-69.9028,1.0576e-06,,,2.1643,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
715,Ca4.95Na0.05Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.0332,193.0,0.0001122,0.022589755,1.49,30.12,300.0,http://dx.doi.org/10.1002/adfm.201000970
716,Mg2Si0.999Bi0.001,Polycrystalline,"Mechanochemical, Ar",225.0,0.001706,-164.4,0.0015843,0.111175665,5.7,586.17,400.0,http://dx.doi.org/10.1039/C1JM10827A
717,Mg2Si0.6Ge0.4Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.0513,30.42,1.8039e-06,0.000131668,4.11,19.493,300.0,http://dx.doi.org/10.1007/s11664-009-0735-1
718,CaMn7O12,Polycrystalline,"Solid state reaction, air",194.0,0.08931,8.02541,7.2116e-08,,,11.197,700.0,http://dx.doi.org/10.1063/1.1687532
719,Ca2.94Na0.06AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0134,262.0,0.00051227,0.73390925,0.698,74.627,1000.0,http://dx.doi.org/10.1039/c0ee00517g
720,Zr0.5Hf0.5NiSn1.994Sb0.006,Polycrystalline,"Arc-melted, Ar",216.0,0.001166,-211.0,0.0038183,0.414,2.766860566,857.63,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
721,Cu1.98Se,Polycrystalline,"Melted, vacuum",225.0,0.00151,129.0,0.0011021,0.532025577,1.45,662.25,700.0,http://dx.doi.org/10.1038/nmat3279
722,CaGd0.96Mn0.04O3,Polycrystalline,Co-precipitation,62.0,0.011666665,-172.65,0.0002555,0.13283632,1.34638,85.714,700.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
723,Ca0.7Ho0.3MnO3,Polycrystalline,Solid state reaction,11.0,0.0043952,-45.05,4.6177e-05,0.01211792,1.524264065,227.52,400.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
724,CaMn0.96Ru0.04O3,Polycrystalline,Solid state reaction,62.0,0.00752127,-119.99,0.00019141,0.020374273,3.75786,132.96,400.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
725,W0.95O2.95Co0.1O0.15,Polycrystalline,Solid state reaction,2.0,114.491013,103.223,9.3064e-09,,,0.0087343,300.0,http://dx.doi.org/10.1007/s10854-011-0574-8
726,Si0.8Ge0.2,Nanoparticles,,227.0,0.002454,218.3,0.0019419,,,407.5,700.0,Personal communication
727,Zn0.9925Al0.0075O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0103143,-123.495,0.00014786,,,96.953,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
728,Ca0.9In0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.230797637,-410.971,7.318e-05,,,4.3328,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
729,ZnO,Polycrystalline,"Solid state reaction, air",186.0,1.786,-329.869,6.0926e-06,0.000291113,14.65,9.3445,700.0,http://dx.doi.org/10.1039/A602506D
730,Ca0.94La0.06MnO3,Polycrystalline,Solid state reaction,62.0,0.017025942,-127.43,9.5371e-05,,,58.734,700.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
731,Zr0.3Hf0.3Ti0.4NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00845644,-316.151,0.001182,,,118.25,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
732,Bi2Sr2Co2O8,Single crystal,Solid state reaction + extra,,0.0021239,108.88,0.00055818,0.076639366,2.18498,470.83,300.0,http://dx.doi.org/10.1063/1.1502190
733,Mg2Si0.6Ge0.4Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00127,-117.5,0.0010871,0.165970427,2.62,787.4,400.0,http://dx.doi.org/10.1007/s11664-009-0735-1
734,CuCr0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,6.11207,525.19,4.5128e-06,0.000194341,6.9663,0.16361,300.0,http://dx.doi.org/10.1109/ICT.2006.331288
735,SrDy0.08Ti0.92O3,Polycrystalline,"Solid state reaction, air",221.0,0.004,-70.5,0.00012426,0.013289439,3.74,250.0,400.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
736,CuCr0.97Mg0.03O2,Polycrystalline,"Solid state reaction, air",166.0,0.0485233,289.576,0.00017281,0.021350298,5.6659,20.609,700.0,http://dx.doi.org/10.1109/ICT.2006.331288
737,Mg2Si0.98Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.0066,192.0,0.00055855,0.176754891,3.16,151.52,1000.0,http://dx.doi.org/10.1007/s11664-009-0735-1
738,CuFe0.9Cr0.1O2,Polycrystalline,Solid state reaction,166.0,0.0699656,299.003,0.00012778,,,14.293,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
739,Bi2Sr2Co2O8,Single crystal,Solid state reaction + extra,,0.0036682,293.62,0.0023502,1.191133093,1.9731,272.61,1000.0,http://dx.doi.org/10.1063/1.1502190
740,CeFe2Co2Sb12,Polycrystalline,"Melted, vacuum",204.0,0.0048781,163.937,0.00055094,,,205.0,700.0,http://www.jstor.org/stable/2889796
741,Al0.02Zn0.98O,Polycrystalline,Solid state reaction,186.0,25.51020408,-331.35,4.304e-07,0.0,10.7741,0.0392,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
742,CuCr0.96Mg0.04O2,Polycrystalline,"Solid state reaction, air",166.0,0.0660993,225.369,7.6841e-05,0.003505948,8.7669,15.129,400.0,http://dx.doi.org/10.1109/ICT.2006.331288
743,CuRh0.96Mg0.04O2,Polycrystalline,"Solid state reaction, air",166.0,0.011,174.4,0.0002765,,,90.909,300.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
744,Mo6Te6S2,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000887,8.06322,7.3298e-06,0.001234787,2.37444,1127.4,400.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
745,CaYb0.4Mn0.6O3,Polycrystalline,Solid state reaction,62.0,0.0152199,-9.10364,5.4453e-07,,,65.703,300.0,http://dx.doi.org/10.1109/ICT.2006.331291
746,Ca2.7Na0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.005294,125.6,0.00029799,0.06273382,1.9,188.89,400.0,http://dx.doi.org/10.1063/1.1480115
747,Ca0.9Bi0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.005189333,-96.0071,0.00017762,0.096459952,1.8414,192.7,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
748,Ca0.9Pb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.046817356,-114.746,2.8123e-05,,,21.36,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
749,CeFe4Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.000836,75.7,0.00068547,0.174640844,1.57,1196.2,400.0,http://dx.doi.org/10.1109/ICT.1996.553263
750,In0.2Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00128767,-214.39,0.0035696,0.644976838,2.21377,776.6,400.0,http://dx.doi.org/10.1557/jmr.2011.163
751,Tl0.02Pb0.98Te,Polycrystalline,Melted,225.0,0.00536364,327.66,0.0020016,1.387416646,1.0099,186.44,700.0,http://dx.doi.org/10.1126/science.1159725
752,In1.998Ge0.002O3,Polycrystalline,Solid state reaction,206.0,0.0044955,-177.832,0.00070346,0.240031089,2.93072,222.44,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
753,Mg2Si0.98Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00121,-110.3,0.0010055,0.07143602,5.63,826.45,400.0,http://dx.doi.org/10.1007/s11664-009-0735-1
754,Sr0.61Ba0.39Nb2O6,Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,0.10502047,-186.0,3.2942e-05,0.005928401,1.667,9.522,300.0,http://dx.doi.org/10.1063/1.3291563
755,SrNd0.24Ti0.76O3,Polycrystalline,"Solid state reaction, air",221.0,0.002247191,-22.6,2.2729e-05,0.001140242,5.98,445.0,300.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
756,ZrNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001589818,-212.937,0.002852,0.42941353,6.6417,629.0,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
757,TiNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.008392923,-295.891,0.0010432,0.08031864,5.1951,119.15,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
758,CaMn0.94Ru0.06O3,Polycrystalline,Solid state reaction,62.0,0.00892335,-122.22,0.0001674,,,112.07,700.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
759,LaCoO3,Polycrystalline,Solid state reaction,15.0,7.717915156,-390.0,1.9707e-06,0.000314602,1.87927,0.12957,300.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
760,Zn4Sb3,Polycrystalline,"Melted, inert",167.0,0.00210707,110.866,0.00058333,0.173267726,1.01,474.59,300.0,http://dx.doi.org/10.1016/S0022-3697(96)00228-4
761,Si0.7956Ge0.1989P0.0055,Polycrystalline,Vacuum hot pressed,227.0,0.00133537,-150.045,0.0016859,0.159453467,4.22929,748.86,400.0,http://dx.doi.org/10.1063/1.348408
762,Nd2Cu0.98Zn0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.189785,-343.22,6.207e-05,0.001088945,17.1,5.2691,300.0,http://dx.doi.org/10.1002/chin.200318015
763,Zr0.35Hf0.35Ti0.3NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00860507,-369.912,0.0015902,0.150488885,3.17,116.21,300.0,http://dx.doi.org/10.1063/1.1868063
764,WO3,Polycrystalline,Solid state reaction,2.0,64.85589021,160.801,3.9868e-08,,,0.015419,1000.0,http://dx.doi.org/10.1007/s10854-011-0574-8
765,La3Te3.65Sb0.35,Polycrystalline,"Solid state reaction, Ar",220.0,0.00225,-117.3,0.00061152,0.330553514,1.85,444.44,1000.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
766,La0.3Ca2.7Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.020697677,92.437,4.1283e-05,,,48.315,700.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
767,Ca0.9Sb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.067066382,-81.0778,9.8016e-06,,,14.911,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
768,CaMn0.82Ru0.18O3,Polycrystalline,Solid state reaction,62.0,0.00504634,-67.87,9.1278e-05,,,198.16,1000.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
769,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.00316607,188.372,0.0011208,1.055896648,0.743,315.85,700.0,http://dx.doi.org/10.1039/c0jm02011g
770,Ba0.3Sr0.6La0.1TiO3,Polycrystalline,"Solid state reaction , Ar",221.0,0.0007634,-101.4,0.0013469,0.160340956,3.36,1309.9,400.0,http://dx.doi.org/10.1016/j.jallcom.2003.07.016
771,Sr0.8La0.2TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.00061297,-53.7,0.00047045,,,1631.4,300.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
772,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0151081,-115.43,8.8192e-05,,,66.19,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
773,W0.99O2.97Co0.02O0.03,Polycrystalline,Solid state reaction,2.0,707.6990581,97.0383,1.3306e-09,,,0.001413,400.0,http://dx.doi.org/10.1007/s10854-011-0574-8
774,La2.74Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.0027,-41.0,6.2259e-05,0.015062724,1.24,370.37,300.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
775,CaYb0.1Mn0.9O3,Polycrystalline,Solid state reaction,62.0,0.00782461,-128.361,0.00021057,0.133018362,1.58304,127.8,1000.0,http://dx.doi.org/10.1109/ICT.2006.331291
776,La1.725Sr0.28CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.00047135,0.5,5.3039e-08,,,2121.6,300.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
777,Y2Ru2O7,Polycrystalline,Solid state reaction,227.0,5.732274775,270.0,1.2717e-06,,,0.17335,400.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
778,CaGd0.96Mn0.04O3,Polycrystalline,Co-precipitation,62.0,0.012873558,-163.53,0.00020774,0.051454878,1.6149,77.679,400.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
779,TlCr5Se8,Polycrystalline,Solid state reaction,12.0,0.014,215.0,0.00033018,,,71.429,300.0,Personal communication
780,La0.05Ca2.85Co3.8O8.55,Polycrystalline,"Sol-gel, air",12.0,0.04077738,62.1344,9.4677e-06,,,24.523,300.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
781,Ba8Au5.14Si39.51,Polycrystalline,"Melted, inert",223.0,0.00342,-118.1,0.00040782,0.101322945,1.61,292.4,400.0,http://dx.doi.org/10.1063/1.3682585
782,Zr0.4Hf0.4Ti0.2NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00904316,-188.659,0.00039358,0.030958179,3.814,110.58,300.0,http://dx.doi.org/10.1063/1.1868063
783,Mo3Te4,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000723,23.9118,7.9084e-05,0.014946413,5.29114,1383.1,1000.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
784,W0.9O2.7Co0.2O0.3,Polycrystalline,Solid state reaction,2.0,35.73279019,124.216,4.3181e-08,,,0.027986,1000.0,http://dx.doi.org/10.1007/s10854-011-0574-8
785,Mg2Si0.98Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00152,-82.9,0.00045213,0.019023797,7.13,657.89,300.0,http://dx.doi.org/10.1007/s11664-009-0735-1
786,La3Te3.8Sb0.2,Polycrystalline,"Solid state reaction, Ar",220.0,0.00103,-87.8,0.00074843,0.281365063,2.66,970.87,1000.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
787,Y0.5Bi1.5Ru2O7,Polycrystalline,Solid state reaction,227.0,0.001190611,17.26,2.5011e-05,,,829.85,1000.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
788,Ba8Au6.10Si38.97,Polycrystalline,"Melted, inert",223.0,0.000789,76.87,0.00074892,0.177710375,2.95,1267.4,700.0,http://dx.doi.org/10.1063/1.3682585
789,La2.74Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.00268,-89.0,0.00029556,0.101046052,1.17,373.13,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
790,La0.99Sr0.01CoO3,Polycrystalline,Solid state reaction,15.0,0.074131024,304.0,0.00012467,,,13.49,400.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
791,La0.45Ca2.55Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.022970024,95.0781,3.9355e-05,,,43.535,700.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
792,Mg2Si0.9985Bi0.0015,Polycrystalline,"Mechanochemical, Ar",225.0,0.001575,-217.0,0.0029898,0.636122931,3.29,634.92,700.0,http://dx.doi.org/10.1039/C1JM10827A
793,Ca3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.008968,177.0,0.00034934,0.19962406,1.75,111.51,1000.0,http://dx.doi.org/10.1063/1.1480115
794,Fe1.98Ti0.02O3,Polycrystalline,"Solid state reaction, air",2.0,0.138108766,-371.87,0.00010013,,,72407.0,1000.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
795,Ca0.9Tb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00638941,-93.82,0.00013776,0.03507392,1.571097028,156.51,400.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
796,Mg2Si0.98Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,1.24,26.0,5.4516e-08,2.08874e-06,7.83,0.80645,300.0,http://dx.doi.org/10.1007/s11664-009-0735-1
797,CaYb0.15Mn0.85O3,Polycrystalline,Solid state reaction,62.0,0.00481615,-60.9944,7.7247e-05,0.032386419,1.66961,207.63,700.0,http://dx.doi.org/10.1109/ICT.2006.331291
798,CuCr0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.472214,428.212,3.8831e-05,0.004765211,5.7042,2.1177,700.0,http://dx.doi.org/10.1109/ICT.2006.331288
799,Pb1.8S1.8Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.00046,-50.8,0.00056101,0.058035382,2.9,2173.9,300.0,http://dx.doi.org/10.3390/ma3042606
800,Nd2Cu0.98Zn0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.140548,-294.38,6.1658e-05,0.002221923,11.1,7.115,400.0,http://dx.doi.org/10.1002/chin.200318015
801,SrNd0.24Ti0.76O3,Polycrystalline,"Solid state reaction, air",221.0,0.003194888,-124.0,0.00048127,0.14946236,3.22,313.0,1000.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
802,Nd2Ru2O7,Polycrystalline,Solid state reaction,227.0,0.25,40.0,6.4e-07,,,4.0,400.0,
803,Ca2Co2O5,Single crystal,Melted,12.0,0.00137846,207.27,0.0031167,1.074714975,2.9,725.45,1000.0,http://dx.doi.org/10.1143/JJAP.39.L1127
804,Mg2Si0.6Ge0.4Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.0015,-83.0,0.00045927,0.046234899,2.98,666.67,300.0,http://dx.doi.org/10.1007/s11664-009-0735-1
805,Si0.79936Ge0.19984B0.0008,Polycrystalline,Vacuum hot pressed,227.0,0.00218446,209.823,0.0020154,0.369646753,3.81657,457.78,700.0,http://dx.doi.org/10.1063/1.348408
806,Nd2Cu0.98Zn0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.0763148,-175.63,4.042e-05,0.005420334,5.22,13.104,700.0,http://dx.doi.org/10.1002/chin.200318015
807,ZnO,Polycrystalline,"Solid state reaction, air",186.0,0.2597,-301.0,3.4887e-05,0.000214908,48.7,0.059161,300.0,http://dx.doi.org/10.1039/A602506D
808,In1.8Ge0.2O3,Polycrystalline,Solid state reaction,206.0,0.00267047,-110.012,0.0004532,0.277913956,1.63073,374.47,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
809,YBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.001998573,17.21,1.4823e-05,,,492.25,1000.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
810,Ca0.9Y0.1MnO3,Polycrystalline,Solid state reaction,11.0,0.00437499,-70.53,0.00011371,0.02291151,1.488878233,228.57,300.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
811,NbCo1.05Sn,Single crystal,Floating zone melting,216.0,0.0016302,-185.373,0.0021079,0.120287894,7.00955,613.42,400.0,http://dx.doi.org/10.1063/1.2828713
812,SrNd0.2Ti0.8O3,Polycrystalline,"Solid state reaction, air",221.0,0.001953125,-94.4,0.00045626,0.092574824,3.45,512.0,700.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
813,Cr1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",2.0,0.000508654,21.5075,9.0941e-05,0.014074574,1.9384,1966.0,300.0,http://dx.doi.org/10.1007/s11664-009-0975-0
814,Ba8Au5.59Si39.01,Polycrystalline,"Melted, inert",223.0,0.00234,106.2,0.00048198,0.081692308,1.77,427.35,300.0,http://dx.doi.org/10.1063/1.3682585
815,In1.994Ge0.006O3,Polycrystalline,Solid state reaction,206.0,0.00129155,-94.1419,0.00068621,0.104779859,4.58432,774.26,700.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
816,Ba8Ga16Ge30,Polycrystalline,"Solid state reaction, Ar",223.0,0.000782,-49.65,0.00031523,0.062217051,1.52,1278.8,300.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
817,CaMn0.82Ru0.18O3,Polycrystalline,Solid state reaction,62.0,0.00310502,-35.67,4.0981e-05,,,322.06,400.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
818,Pb0.97Sr0.02TeNa0.01,Polycrystalline,Melting,225.0,0.0004095,68.0,0.0011292,0.110523,3.065,2442.0,300.0,http://dx.doi.org/10.1038/nature11439
819,Ca0.9In0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.173432861,-234.678,3.1755e-05,,,5.7659,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
820,La3Te3.65Sb0.35,Polycrystalline,"Solid state reaction, Ar",220.0,0.00137,-58.0,0.00024555,0.047679116,2.06,729.93,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
821,CaMnO3,Polycrystalline,"Solid state reaction, air",62.0,2.869819259,-460.992,7.4051e-06,0.00093196,3.1783,0.34845,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
822,Pb0.98TeNa0.02,Polycrystalline,Melting,225.0,0.000576037,105.0,0.0019139,0.240747,3.18,1736.0,400.0,http://dx.doi.org/10.1038/nature11439
823,Ca2.4Na0.3Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.009357,132.0,0.00018621,0.027932029,2.0,106.87,300.0,http://dx.doi.org/10.1063/1.1480115
824,Ca0.9Pb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.052469201,-266.152,0.00013501,,,19.059,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
825,CaYb0.15Mn0.85O3,Polycrystalline,Solid state reaction,62.0,0.00359065,-49.1597,6.7305e-05,0.017140379,1.57067,278.5,400.0,http://dx.doi.org/10.1109/ICT.2006.331291
826,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.010943,-204.677,0.00038283,,,91.383,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
827,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0115796,-114.58,0.00011337,0.0770762,1.470944215,86.359,1000.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
828,Zr0.4Hf0.4Ti0.2NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00877175,-181.756,0.00037661,,,114.0,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
829,NbCo1.10Sn,Single crystal,Floating zone melting,216.0,0.0018429,-189.172,0.0019418,0.218130295,6.23152,542.62,700.0,http://dx.doi.org/10.1063/1.2828713
830,LiMn2O4,Polycrystalline,Solid state reaction (oxalates),227.0,0.359618,-84.81,2.0002e-06,,,2.7807,1000.0,http://dx.doi.org/10.1039/c2jm16297k
831,Mg2Si0.995Bi0.005,Polycrystalline,"Mechanochemical, Ar",225.0,0.000396,-83.5,0.0017607,0.130178868,5.41,2525.3,400.0,http://dx.doi.org/10.1039/C1JM10827A
832,NbCo1.10Sn,Single crystal,Floating zone melting,216.0,0.00111024,-130.766,0.0015402,0.07963356,5.80227,900.71,300.0,http://dx.doi.org/10.1063/1.2828713
833,In0.3Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00179338,-247.31,0.0034104,0.631923014,2.15872,557.61,400.0,http://dx.doi.org/10.1021/cm052055b
834,CaMn0.98Ru0.02O3,Polycrystalline,Solid state reaction,62.0,0.0279999,-213.72,0.00016313,,,35.714,1000.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
835,Nd2CuO4,Polycrystalline,"Solid state reaction, air",139.0,0.0243757,-99.7,4.0782e-05,0.006813229,4.19,41.024,700.0,http://dx.doi.org/10.1002/chin.200318015
836,Ca4.95Na0.05Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.0224,219.9,0.00021588,0.071958348,1.2,44.643,400.0,http://dx.doi.org/10.1002/adfm.201000970
837,Sr0.95La0.05TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.004427365,-188.0,0.00079831,,,225.87,400.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
838,Ti0.98Nb0.02NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000960366,-174.312,0.0031639,0.529517135,5.975,1041.3,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
839,La0.9Bi0.1NiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.0026727,-20.95,1.6418e-05,,,374.15,400.0,http://dx.doi.org/10.1557/PROC-793-S3.3
840,CuCrO2,Polycrystalline,"Solid state reaction, air",166.0,1.66438,617.422,2.2904e-05,0.00617642,3.7083,0.60082,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
841,Ca0.9Yb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00825472,-130.04,0.00020484,0.128986958,1.58808,121.14,1000.0,http://dx.doi.org/10.1063/1.2362922
842,Ba8Ga18Ge28,Polycrystalline,Arc melting,223.0,0.007764,-78.9,8.018e-05,0.01603609,1.5,128.8,300.0,http://dx.doi.org/10.1109/ICT.2002.1190269
843,Ca0.92La0.08MnO3,Polycrystalline,Solid state reaction,62.0,0.013632206,-118.46,0.00010294,,,73.356,700.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
844,Zn0.99Al0.01O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.00795678,-147.016,0.00027164,,,125.68,700.0,http://dx.doi.org/10.1007/s11664-009-0815-2
845,Sr3Ti1.6Nb0.4O7,Polycrystalline,"Solid state reaction, Ar",221.0,0.004291845,-98.3,0.00022515,0.057941815,2.72,233.0,700.0,http://dx.doi.org/10.1063/1.3117943
846,CuRh0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.0458,283.0,0.00017487,,,21.834,700.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
847,Zr0.5Hf0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00216666,-236.062,0.0025719,0.549896257,3.274,461.54,700.0,http://dx.doi.org/10.1063/1.1868063
848,Zr0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000337249,-78.184,0.0018125,0.061376527,8.8594,2965.2,300.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
849,Ba8Ga16Ge30,Polycrystalline,"Solid state reaction, Ar",223.0,0.00223,-144.4,0.00093504,0.742094099,1.26,448.43,1000.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
850,NaCo2O4,Single crystal,"Flux (NaCl), air",194.0,0.000354,98.0,0.0027138,0.080229444,13.53,2825.7,400.0,http://dx.doi.org/10.1143/JJAP.40.4644
851,Ba8Ga16Ge30,Polycrystalline,Arc melting,223.0,0.002817,149.0,0.00078811,0.118216187,2.0,354.99,300.0,http://dx.doi.org/10.1109/ICT.2002.1190269
852,Pr0.5Ca0.5MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.0160953,-23.4352,3.4122e-06,,,62.13,700.0,http://dx.doi.org/10.1063/1.1687532
853,Mg2Si0.997Bi0.003,Polycrystalline,"Mechanochemical, Ar",225.0,0.000541,-101.0,0.0018856,0.15845229,4.76,1848.4,400.0,http://dx.doi.org/10.1039/C1JM10827A
854,Zn0.99Al0.01O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.006778,-110.995,0.00018176,,,147.54,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
855,TiNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.00162668,-159.717,0.0015682,0.243444308,6.4417,614.75,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
856,YbBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.00169298,19.3,2.1993e-05,,,590.67,400.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
